id,item_id,variant_id,item_name,size,stock,cost_price,retail_price,barcode,created_at,updated_at
127d2619-9abc-440c-af10-126dce847a4a,f49c2b20-4a9b-456b-962f-a2a0357bf686,89e38ddb-5634-417f-9a5f-4cff93c5e5ec,Trousers,28,10,240.00,330.00,TROUSERS-WHITE-28,2026-08-07 20:09:29.683336+00,2026-08-07 20:09:29.683336+00
1de912d7-d034-4bb0-b5ee-7ff52a9c6c90,e010aaab-3df3-4f2c-9810-2988863362fe,9e0fd026-c719-4095-925c-65f99f1e4d47,T.Shirt,30,10,200.00,280.00,TSHIRT-WH-30,2026-08-11 13:12:00.957078+00,2026-08-11 13:12:00.957078+00
24fdd6e2-4f6f-46fa-adc8-7d2d2866c446,e010aaab-3df3-4f2c-9810-2988863362fe,9e0fd026-c719-4095-925c-65f99f1e4d47,T.Shirt,32,10,200.00,300.00,TSHIRT-WH-32,2026-08-11 13:12:00.957078+00,2026-08-11 13:12:00.957078+00
33790ffc-ad05-47d9-a7ae-3fefed4e1334,f49c2b20-4a9b-456b-962f-a2a0357bf686,89e38ddb-5634-417f-9a5f-4cff93c5e5ec,Trousers,30,10,250.00,350.00,TROUSERS-WHITE-30,2026-08-07 20:09:29.683336+00,2026-08-07 20:09:29.683336+00
507fcf2a-bd40-41de-8fd6-915c176701f1,e010aaab-3df3-4f2c-9810-2988863362fe,d59f94f5-d346-49f7-981a-ce8d9d1643f6,T.Shirt,20,10,180.00,200.00,TSHIRT-BLACK-20,2026-08-11 13:12:01.762788+00,2026-08-11 13:12:01.762788+00
56cec9a7-a3a6-419b-be89-f3aa94568d9c,e010aaab-3df3-4f2c-9810-2988863362fe,d59f94f5-d346-49f7-981a-ce8d9d1643f6,T.Shirt,24,10,180.00,220.00,TSHIRT-BLACK-24,2026-08-11 13:12:01.762788+00,2026-08-11 13:12:01.762788+00
667cbae8-d02b-4681-9822-04a16cb4a894,f49c2b20-4a9b-456b-962f-a2a0357bf686,89e38ddb-5634-417f-9a5f-4cff93c5e5ec,Trousers,26,10,230.00,310.00,TROUSERS-WHITE-26,2026-08-07 20:09:29.683336+00,2026-08-07 20:09:29.683336+00
77bb37c7-8bfa-4380-97bd-a4a9b8d50933,e010aaab-3df3-4f2c-9810-2988863362fe,d59f94f5-d346-49f7-981a-ce8d9d1643f6,T.Shirt,22,10,180.00,210.00,TSHIRT-BLACK-22,2026-08-11 13:12:01.762788+00,2026-08-11 13:12:01.762788+00
8ba9bb99-259c-4dfa-8741-f6400d872e86,f49c2b20-4a9b-456b-962f-a2a0357bf686,89e38ddb-5634-417f-9a5f-4cff93c5e5ec,Trousers,24,10,220.00,290.00,TROUSERS-WHITE-24,2026-08-07 20:09:29.683336+00,2026-08-07 20:09:29.683336+00
8d29bd33-8fe7-4a05-9664-bdf8e49b54dc,e010aaab-3df3-4f2c-9810-2988863362fe,d59f94f5-d346-49f7-981a-ce8d9d1643f6,T.Shirt,28,10,180.00,240.00,TSHIRT-BLACK-28,2026-08-11 13:12:01.762788+00,2026-08-11 13:12:01.762788+00
